Grid_ID,Latitude,Longitude,avg_speed,avg_dir
GR3_F4C21_F,35.925,126.525,0.0,0.0
GR3_F4G32_M,34.375,126.375,16.684817351598173,209.18812785388127
GR3_F4G43_Q,34.075,126.575,0.0,0.0
GR3_F4G43_T,34.075,126.725,38.44178082191781,171.90696347031962
GR3_F4H22_F,34.925,127.775,0.0,0.0
GR3_F4H22_H,34.925,127.875,0.0,0.0
GR3_F4H31_U,34.275,127.025,0.0,0.0
GR3_F4H34_N,34.125,127.425,26.02990867579909,181.61883561643836
GR3_F4H42_L,34.375,127.825,0.0,0.0
GR3_F4I23_H,33.675,124.625,0.0,0.0
GR3_F4J34_M,33.125,125.375,0.0,0.0
GR3_F4J34_N,33.125,125.425,0.0,0.0
GR3_F4J41_H,33.425,125.625,0.0,0.0
GR3_F4J43_M,33.125,125.625,0.0,0.0
GR3_G1E41_V,38.275,128.575,0.0,0.0
GR3_G1E43_G,38.175,128.575,0.0,0.0
GR3_G1N34_R,36.075,129.375,0.0,0.0
GR3_G3A34_O,35.125,128.475,0.0,0.0
GR3_G3B14_N,35.625,129.425,0.0,0.0
GR3_G3B21_P,35.825,129.525,0.0,0.0
GR3_G3B32_O,35.375,129.475,0.0,0.0
GR3_G3B32_R,35.325,129.375,0.0,0.0
GR3_G3B32_S,35.325,129.425,0.0,0.0
GR3_G3B34_T,35.075,129.475,0.0,0.0
GR3_G3B43_U,35.025,129.525,0.0,0.0
GR3_G3C33_B,35.225,130.075,0.0,0.0
GR3_G3E11_F,34.925,128.025,0.0,0.0
GR3_G3E14_M,34.625,128.375,0.0,0.0
GR3_G3E21_U,34.775,128.525,0.0,0.0
GR3_G3E22_U,34.775,128.775,0.0,0.0
GR3_G3E23_L,34.625,128.575,0.0,0.0
GR3_G3E31_D,34.475,128.175,0.0,0.0
GR3_G3E31_E,34.475,128.225,0.0,0.0
GR3_G3F13_A,34.725,129.025,0.0,0.0
GR3_F1L44_M,37.125,123.875,0.0,0.0
GR3_F2K41_H,37.425,126.625,3.565525114155251,163.35650684931508
GR3_F2O22_G,36.925,126.825,0.0,0.0
GR3_F4C32_N,35.375,126.425,33.297260273972604,147.10171232876712
GR3_F4E41_D,34.475,124.675,0.0,0.0
GR3_F4G12_Q,34.825,126.325,68.88253424657535,176.1431506849315
GR3_F4G12_V,34.775,126.325,0.0,0.0
GR3_F4G31_R,34.325,126.125,0.0,0.0
GR3_F4G31_T,34.325,126.225,0.0,0.0
GR3_F4G32_G,34.425,126.325,0.0,0.0
GR3_F4G33_N,34.125,126.175,0.0,0.0
GR3_F4G33_O,34.125,126.225,0.0,0.0
GR3_F4G42_X,34.275,126.925,0.0,0.0
GR3_F4G42_Y,34.275,126.975,0.0,0.0
GR3_F4H13_H,34.675,127.125,0.0,0.0
GR3_F4H14_E,34.725,127.475,0.0,0.0
GR3_F4H21_M,34.875,127.625,0.0,0.0
GR3_F4H22_V,34.775,127.825,0.0,0.0
GR3_F4H24_S,34.575,127.925,0.0,0.0
GR3_F4H32_K,34.375,127.275,0.0,0.0
GR3_F4H32_O,34.375,127.475,0.0,0.0
GR3_F4H33_M,34.125,127.125,0.0,0.0
GR3_F4H41_X,34.275,127.675,0.0,0.0
GR3_F4H42_S,34.325,127.925,0.0,0.0
GR3_F4H44_O,34.125,127.975,0.0,0.0
GR3_F4I23_L,33.625,124.575,0.0,0.0
GR3_F4J31_M,33.375,125.125,0.0,0.0
GR3_F4J33_E,33.225,125.225,0.0,0.0
GR3_F4J41_C,33.475,125.625,0.0,0.0
GR3_F4K32_F,33.425,126.275,0.0,0.0
GR3_F4K42_J,33.425,126.975,0.0,0.0
GR3_F4K42_O,33.375,126.975,0.0,0.0
GR3_F4N32_W,32.275,125.375,0.0,0.0
GR3_G1N32_R,36.325,129.375,0.0,0.0
GR3_G1N34_C,36.225,129.375,0.0,0.0
GR3_G3B21_W,35.775,129.625,0.0,0.0
GR3_G3B23_Q,35.575,129.575,0.0,0.0
GR3_G3B33_K,35.125,129.025,0.0,0.0
GR3_G3B34_B,35.225,129.325,0.0,0.0
GR3_G3B34_M,35.125,129.375,0.0,0.0
GR3_G3B42_L,35.375,129.825,0.0,0.0
GR3_G3E11_L,34.875,128.075,0.0,0.0
GR3_G3E12_Y,34.775,128.475,0.0,0.0
GR3_G3E13_A,34.725,128.025,0.0,0.0
GR3_G3E21_E,34.975,128.725,0.0,0.0
GR3_G3E32_A,34.475,128.275,0.0,0.0
